"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9024","fillFormTest_NegativeTest","Suite","Sat Dec 14 21:26:56 IST 2024","passed","Sat Dec 14 21:27:05 IST 2024","com.qa.test.layer.FormFillingTest","Test","com.qa.test.layer.FormFillingTest","fillFormTest_NegativeTest"
"","4879","fillForm_PositiveTest","Suite","Sat Dec 14 21:27:05 IST 2024","passed","Sat Dec 14 21:27:10 IST 2024","com.qa.test.layer.FormFillingTest","Test","com.qa.test.layer.FormFillingTest","fillForm_PositiveTest"
"","23669","addToCartTest_DataProvider","Suite","Sat Dec 14 21:24:58 IST 2024","passed","Sat Dec 14 21:25:22 IST 2024","com.qa.test.layer.AddToCartDataDriven","Test","com.qa.test.layer.AddToCartDataDriven","addToCartTest_DataProvider"
"","20235","verifyCartTotalTest","Suite","Sat Dec 14 21:25:29 IST 2024","passed","Sat Dec 14 21:25:49 IST 2024","com.qa.test.layer.CartPageTest","Test","com.qa.test.layer.CartPageTest","verifyCartTotalTest"
"","19680","addToCartTest","Suite","Sat Dec 14 21:25:57 IST 2024","passed","Sat Dec 14 21:26:17 IST 2024","com.qa.test.layer.AddToCart","Test","com.qa.test.layer.AddToCart","addToCartTest"
"","2","addToCartTest","Suite","Sat Dec 14 21:24:51 IST 2024","unknown","Sat Dec 14 21:24:51 IST 2024","com.qa.test.layer.AddToCartUsingStream","Test","com.qa.test.layer.AddToCartUsingStream","addToCartTest"
"","2","initDriver","Default suite","Sat Dec 14 21:17:45 IST 2024","broken","Sat Dec 14 21:17:45 IST 2024","com.qa.test.layer.FormFillingTest","Default test","com.qa.test.layer.FormFillingTest","initDriver"
"","23199","addToCartTest_DataProvider","Suite","Sat Dec 14 21:26:25 IST 2024","passed","Sat Dec 14 21:26:48 IST 2024","com.qa.test.layer.AddToCartDataDrivenWithStream","Test","com.qa.test.layer.AddToCartDataDrivenWithStream","addToCartTest_DataProvider"
